id,tier,prompt,response,retrieved_sources
PKN_001,tier1,What does MUAC stand for and why is it used to check if a child is malnourished?,"MUAC stands for Mid-Upper Arm Circumference. It is used to check if a child is malnourished because it is a quick, easy, and non-invasive method to assess muscle mass and body fat. In children, a low MUAC is often an indicator of severe acute malnutrition (SAM). According to the World Health Organization (WHO), a MUAC below 115mm is considered a cut-off for severe acute malnutrition in children aged 6-59 months. This measurement is widely used in field settings and emergency situations due to its simplicity and ease of use.",WHO_SAM_Guidelines; WHO_SAM_Guidelines; Pakistan_NNS_2018_Vol1
PKN_002,tier1,What is the difference between SAM and MAM in young children?,"I am unsure about the specific difference between SAM (Severe Acute Malnutrition) and MAM (Moderate Acute Malnutrition) in young children, as the provided context does not explicitly define these terms. The WHO_2023_Wasting_Guidelines provide information on wasting, stunting, and underweight, but do not explicitly discuss SAM and MAM. If you have more context or information, I can try to provide a more accurate answer.",WHO_2023_Wasting_Guidelines; WHO_2023_Wasting_Guidelines; WHO_2023_Wasting_Guidelines
PKN_003,tier1,At what age should I start giving my baby solid foods alongside breastmilk?,"According to the provided context, it is recommended to introduce semi-solid foods at the age of six months alongside breastmilk.",Pakistan_NNS_2018_Vol1; Pakistan_NNS_2018_Vol1; Pakistan_NNS_2018_Vol1
PKN_004,tier1,What foods available in Sujawal are good sources of iron for a toddler?,"I am unsure about the specific foods available in Sujawal, as the provided context only lists data from the Pakistan National Nutrition Survey 2018, which covers various regions in Pakistan, including Sindh, but does not provide detailed information on specific locations like Sujawal. If you have more information about the foods available in Sujawal, I can try to provide more general guidance on iron-rich foods for toddlers.",Pakistan_NNS_2018_Vol2; Pakistan_NNS_2018_Vol2; Pakistan_NNS_2018_Vol2
PKN_005,tier1,My 12-month-old daughter weighs 5 kg. Is that considered low for her age?,"I am unsure. I do not have information on the specific weight-for-length percentiles for 12-month-old children. To determine if your daughter's weight is low, I recommend consulting with a healthcare professional who can assess her overall growth and development, including her weight, height, and other relevant factors. They can provide a more accurate assessment and guidance on her nutritional status.",WHO_2023_Wasting_Guidelines; WHO_SAM_Guidelines; Pakistan_NNS_2018_Vol1
PKN_006,tier1,What is a sachet of RUTF and how does it help a malnourished child?,"I am unsure about the specific details of a sachet of RUTF, but I can tell you that Ready-to-Use Therapeutic Food (RUTF) is a type of food supplement designed to treat severe acute malnutrition. RUTF typically comes in a sachet or packet form and contains a mixture of ingredients that provide the necessary nutrients for recovery. The sachet usually contains a specific amount of the therapeutic food, which is designed to be easily administered to a child. RUTF helps a malnourished child by providing the necessary nutrients to support recovery, including protein, fat, and other essential vitamins and minerals. However, I would like to clarify that the specific details about the composition and administration of RUTF should be verified with a healthcare professional or the manufacturer of the product.",WHO_SAM_Guidelines; WHO_SAM_Guidelines; WHO_SAM_Guidelines
PKN_007,tier1,How many times a day should I feed my 8-month-old boy?,"I can't provide specific guidance on feeding schedules. However, according to the provided context, mothers in the study typically provided 7-8 feeds a day for their babies. For an 8-month-old, the World Health Organization recommends exclusive breastfeeding up to 6 months of age. If you're unsure about the best feeding schedule for your child, I recommend consulting with a healthcare professional.",Pakistan_NNS_2018_Vol1; Pakistan_NNS_2018_Vol1; Pakistan_NNS_2018_Vol1
PKN_008,tier1,What does it mean if a child has a mid-upper arm circumference of 11.2 cm?,"I am unsure. The provided context does not give a clear interpretation of what a mid-upper arm circumference of 11.2 cm means in the context of SAM (Severe Acute Malnutrition) treatment. The context only provides information on the criteria for inclusion in SAM treatment, such as mid-upper arm circumference and weight-for-height, but does not provide a specific threshold or interpretation for a mid-upper arm circumference of 11.2 cm. If you have more information or context, I may be able to provide a more helpful response.",WHO_SAM_Guidelines; WHO_SAM_Guidelines; WHO_SAM_Guidelines
PKN_009,tier1,Is dal a good source of protein for a malnourished child?,"I am unsure. The provided context does not mention dal as a recommended food source for malnourished children. However, it does list various foods that participants considered nutritious, such as chicken soup, paneer, and kheer. It's essential to consult a healthcare professional or a reliable nutrition source for accurate information on specific food recommendations for malnourished children.",WHO_SAM_Guidelines; Pakistan_NNS_2018_Vol1; WHO_SAM_Guidelines
PKN_010,tier1,What is the road-to-health chart and how do I read it?,"I am unsure about the specifics of the ""road-to-health chart"" as it is not mentioned in the provided context. However, I can tell you that the World Health Organization (WHO) has guidelines for wasting treatment, which include a chart for assessing the severity of wasting. If you're looking for information on how to read a chart similar to the WHO wasting treatment guidelines, I can suggest that you consult the WHO 2023 Wasting Guidelines document. It provides a framework for assessing wasting severity and treatment recommendations. Would you like more information on that?",Pakistan_NNS_2018_Vol1; WHO_2023_Wasting_Guidelines; WHO_2023_Wasting_Guidelines
