id,tier,prompt,response,retrieved_sources
PKN_001,tier1,What does MUAC stand for and why is it used to check if a child is malnourished?,"MUAC stands for Mid-Upper Arm Circumference. It is used to check if a child is malnourished because it is a quick and easy method to assess the severity of malnutrition. According to the provided context, MUAC is used to detect severe wasting, and it is more accurate than weight for height in some cases, as mentioned in the article ""Accuracy of MUAC in the detection of severe wasting with the new WHO growth standards"" (2010). Additionally, MUAC is used to assess the prevalence of low MUAC among adolescent girls and boys in Pakistan, as mentioned in the Pakistan_NNS_2018_Vol1 text.",WHO_SAM_Guidelines; WHO_SAM_Guidelines; Pakistan_NNS_2018_Vol1
PKN_002,tier1,What is the difference between SAM and MAM in young children?,"I am unsure. The provided context does not mention SAM and MAM in young children. It only discusses wasting treatment, preterm or LBW infants, postmenstrual age, and other related terms. If you have more context, I'd be happy to try and help.",WHO_2023_Wasting_Guidelines; WHO_2023_Wasting_Guidelines; WHO_2023_Wasting_Guidelines
PKN_003,tier1,At what age should I start giving my baby solid foods alongside breastmilk?,"According to the provided context, the recommended age for introducing solid, semi-solid, and soft foods is 6 months. However, it is also mentioned that some mothers may continue breastfeeding up to six months of age. Therefore, it is recommended to introduce solid foods at 6 months, but not before, and to continue breastfeeding up to 6 months.",Pakistan_NNS_2018_Vol1; Pakistan_NNS_2018_Vol1; Pakistan_NNS_2018_Vol1
PKN_004,tier1,What foods available in Sujawal are good sources of iron for a toddler?,I am unsure. The provided context does not mention Sujawal or the availability of iron-rich foods in that area. The context only provides data on the percentage of children who consumed iron-rich or iron-fortified foods in different regions of Pakistan.,Pakistan_NNS_2018_Vol2; Pakistan_NNS_2018_Vol2; Pakistan_NNS_2018_Vol2
PKN_005,tier1,My 12-month-old daughter weighs 5 kg. Is that considered low for her age?,"I am unsure. The provided context does not provide specific weight-for-length or weight-for-age cut-offs for 12-month-old children. However, according to the WHO guidelines, a weight-for-length Z-score of -3 or less indicates wasting, which is a sign of severe malnutrition. To determine if your daughter's weight is low, I would recommend consulting with a healthcare professional or a registered dietitian who can assess her overall nutritional status and provide personalized guidance.",WHO_2023_Wasting_Guidelines; WHO_SAM_Guidelines; Pakistan_NNS_2018_Vol1
PKN_006,tier1,What is a sachet of RUTF and how does it help a malnourished child?,"I am unsure. The provided context does not mention the specifics of RUTF or its sachet form. However, it does mention ready-to-use therapeutic food (RUTF) in the context of treating severe acute malnutrition in children. According to the context, RUTF is mentioned as a therapeutic food given to children with severe acute malnutrition, but its specifics are not provided.",WHO_SAM_Guidelines; WHO_SAM_Guidelines; WHO_SAM_Guidelines
PKN_007,tier1,How many times a day should I feed my 8-month-old boy?,"I am unsure. The provided context does not specify a recommended feeding frequency for 8-month-old children. However, it does mention that mothers usually provided feeds 7–8 times a day, but this is for 6–23 months old children. For 8-month-old children, the context does not provide a specific recommendation. It is best to consult a healthcare professional for personalized advice.",Pakistan_NNS_2018_Vol1; Pakistan_NNS_2018_Vol1; Pakistan_NNS_2018_Vol1
PKN_008,tier1,What does it mean if a child has a mid-upper arm circumference of 11.2 cm?,"I am unsure. The provided context does not specify what the mid-upper arm circumference of 11.2 cm means. It only provides information on the criteria for identifying children with SAM (Severe Acute Malnutrition) and the expected increase in mid-upper arm circumference during nutritional rehabilitation. If you have more context or information, I can try to help you better.",WHO_SAM_Guidelines; WHO_SAM_Guidelines; WHO_SAM_Guidelines
PKN_009,tier1,Is dal a good source of protein for a malnourished child?,"I am unsure. The provided context does not mention dal as a recommended food source for malnourished children. However, it does list various foods that participants considered nutritious, such as chicken soup and paneer. It's possible that dal could be a nutritious food source, but it's not explicitly mentioned in the context. If you have more information or context, I'd be happy to try and help further.",WHO_SAM_Guidelines; Pakistan_NNS_2018_Vol1; WHO_SAM_Guidelines
PKN_010,tier1,What is the road-to-health chart and how do I read it?,"I'm unsure about the road-to-health chart. Could you provide more context or information about it? The provided text does not mention the road-to-health chart. If you have any additional information or context, I'd be happy to try and help you further.",Pakistan_NNS_2018_Vol1; WHO_2023_Wasting_Guidelines; WHO_2023_Wasting_Guidelines
PKN_011,tier1,What does oedema look like in a malnourished child and why is it dangerous?,"I am unsure. The provided context does not explicitly describe what oedema looks like in a malnourished child or why it is dangerous. It mentions that the severity of oedema is influenced by the familiarity of the staff with seeing oedematous cases, but it does not provide a detailed description of oedema.",WHO_SAM_Guidelines; WHO_SAM_Guidelines; WHO_SAM_Guidelines
PKN_012,tier1,What is the difference between wasting and stunting?,"I am unsure. The provided context does not explicitly state the difference between wasting and stunting. However, based on general knowledge, wasting is defined as low weight for height (more than -2 standard deviations from the median weight for a child’s age), while stunting is defined as low height for age (more than -2 standard deviations from the median height for a child’s age). The context mentions that wasting is considered reflective of acute malnutrition, whereas underweight signifies low weight for age. It also mentions that the concurrence of stunting and wasting in 5.9% of children suggests that the two could share common risk factors.",Pakistan_NNS_2018_Vol1; Pakistan_NNS_2018_Vol1; Pakistan_NNS_2018_Vol1
